,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,○市区町村（設置者）別「コンピュータの設置状況」及び「インターネット接続状況」の実態（合計）,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,（令和６年３月１日現在）
3,,市区町村別,学校数,児童生徒数,普通教室数,教育用PC総台数,学習者用PC総台数,児童生徒一人当たりの学習者用PC台数,普通教室の大型提示装置整備率,普通教室の校内LAN整備率,普通教室の無線LAN整備率,普通教室の移動通信システム（LTE等）整備率,LTEを利用している学校の内、無線LAN整備済みの普通教室の数,無線LAN又は移動通信システム（LTE等）によりインターネット接続を行う普通教室の割合,インターネット接続率（光ファイバー回線）,インターネット接続率（30Mbps以上回線）,インターネット接続率（100Mbps以上回線）,インターネット接続率（１Gbps以上回線）,インターネット接続率（２Gbps以上回線）,インターネット接続率（３Gbps以上回線）,インターネット接続率（10Gbps以上回線）,校内LAN（有線）（100Mbps以上）,校内LAN（有線）（１Gbps以上）,無線LAN（100Mbps以上）,無線LAN（１Gbps以上）
4,,（合計）,校,人,室,台,台,台／人,％,％,％,％,室,％,％,％,％,％,％,％,％,％,％,％,％
5,,秋田県,62,19720,904,27621,25251,1.3,79.2,100,97.2,***,***,97.2,100,100,100,100,0,0,0,100,0,100,22.6
6,,秋田市,64,20201,879,21878,20560,1,94.8,99.3,99.1,***,***,99.1,100,100,100,98.4,0,0,0,100,98.4,100,0
7,,能代市,13,2607,137,3672,3366,1.3,38.7,100,100,***,***,100,100,100,100,100,0,0,0,100,100,100,100
8,,横手市,20,5176,267,6389,5994,1.2,74.5,100,100,***,***,100,100,100,100,100,0,0,0,100,100,100,100
9,,大館市,25,3908,240,4598,4381,1.1,28.8,100,100,***,***,100,100,100,100,100,0,0,0,100,100,100,100
10,,男鹿市,8,1063,66,1278,1171,1.1,83.3,100,100,***,***,100,100,100,100,37.5,0,0,0,100,100,100,0
11,,湯沢市,12,2228,126,2994,2755,1.2,18.3,86.5,86.5,***,***,86.5,100,100,100,100,0,0,0,100,100,100,100
12,,鹿角市,10,1753,97,2000,1794,1,79.4,100,95.9,***,***,95.9,100,100,100,0,0,0,0,100,100,100,100
13,,由利本荘市,23,4626,233,6102,5397,1.2,89.3,97.9,97.4,***,***,97.4,100,100,100,100,0,0,0,100,100,100,100
14,,潟上市,9,2117,99,2779,2493,1.2,41.4,99,99,***,***,99,100,100,100,0,0,0,0,100,0,100,0
15,,大仙市,30,4646,288,5411,4694,1,88.9,90.3,90.3,***,***,90.3,100,100,100,100,0,0,0,100,0,100,100
16,,北秋田市,11,1511,98,1821,1621,1.1,75.5,100,100,***,***,100,100,100,100,0,0,0,0,100,0,100,0
17,,にかほ市,7,1381,68,2055,1946,1.4,91.2,97.1,97.1,***,***,97.1,100,100,100,0,0,0,0,100,100,100,100
18,,仙北市,11,1350,82,1944,1706,1.3,90.2,100,97.6,***,***,97.6,100,100,100,100,0,0,0,90.9,72.7,100,18.2
19,,小坂町,2,226,14,319,267,1.2,78.6,100,100,***,***,100,100,100,100,0,0,0,0,100,100,100,0
20,,上小阿仁村,2,66,8,95,76,1.2,87.5,100,100,***,***,100,100,100,100,0,0,0,0,0,0,0,0
21,,藤里町,1,133,9,224,190,1.4,100,100,100,***,***,100,100,100,100,0,0,0,0,100,0,100,0
22,,三種町,8,714,56,1074,987,1.4,82.1,98.2,94.6,***,***,94.6,100,100,100,100,0,0,0,100,100,100,100
23,,八峰町,3,268,19,376,337,1.3,100,100,100,***,***,100,100,100,66.7,66.7,0,0,0,66.7,66.7,66.7,66.7
24,,五城目町,2,381,21,747,637,1.7,66.7,100,100,***,***,100,100,100,100,0,0,0,0,50,0,50,0
25,,八郎潟町,2,264,16,350,276,1,81.3,100,100,***,***,100,100,100,100,100,0,0,0,100,100,100,100
26,,井川町,1,211,14,284,283,1.3,0,92.9,92.9,***,***,92.9,100,100,100,0,0,0,0,100,0,100,0
27,,大潟村,2,217,12,239,221,1,75,100,100,***,***,100,100,100,100,100,0,0,0,100,100,100,100
28,,美郷町,4,1092,58,1199,1135,1,60.3,100,100,***,***,100,100,100,100,100,0,0,0,50,50,100,75
29,,羽後町,5,821,52,1117,983,1.2,25,100,100,***,***,100,100,100,100,100,0,0,0,100,0,100,0
30,,東成瀬村,2,128,12,233,198,1.5,25,100,100,***,***,100,100,100,100,0,0,0,0,100,0,100,0
31,,合　　計,339,76808,3875,96799,88719,1.2,75.3,98.4,97.5,***,***,97.5,100,100,99.7,84.1,0,0,0,97.9,61.1,98.8,51
32,,注１）「児童生徒数」は、令和５年５月１日現在の児童生徒数。,,,,,,,,,,,,,,,,,,,,,,,
33,,注２）「教育用ＰＣ」とは、主として教育用に利用しているコンピュータをいう。,,,,,,,,,,,,,,,,,,,,,,,
