@cat01,@cat02,@cat03,@area,@time,@unit,$
001,001,01000,00000,1601,千人,126146
001,001,01000,00000,1301,千人,125502
001,001,01000,00000,1701,千人,124947
001,001,01000,00000,1801,千人,124352
001,001,01000,00000,1901,千人,123802
001,001,01001,00000,1601,千人,837
001,001,01001,00000,1301,千人,830
001,001,01001,00000,1701,千人,798
001,001,01001,00000,1801,千人,757
001,001,01001,00000,1901,千人,716
001,001,01002,00000,1601,千人,872
001,001,01002,00000,1301,千人,836
001,001,01002,00000,1701,千人,828
001,001,01002,00000,1801,千人,797
001,001,01002,00000,1901,千人,757
001,001,01003,00000,1601,千人,915
001,001,01003,00000,1301,千人,871
001,001,01003,00000,1701,千人,835
001,001,01003,00000,1801,千人,828
001,001,01003,00000,1901,千人,797
001,001,01004,00000,1601,千人,939
001,001,01004,00000,1301,千人,915
001,001,01004,00000,1701,千人,871
001,001,01004,00000,1801,千人,835
001,001,01004,00000,1901,千人,828
001,001,01005,00000,1601,千人,979
001,001,01005,00000,1301,千人,938
001,001,01005,00000,1701,千人,915
001,001,01005,00000,1801,千人,871
001,001,01005,00000,1901,千人,836
001,001,01006,00000,1601,千人,1004
001,001,01006,00000,1301,千人,978
001,001,01006,00000,1701,千人,938
001,001,01006,00000,1801,千人,915
001,001,01006,00000,1901,千人,872
001,001,01007,00000,1601,千人,1002
001,001,01007,00000,1301,千人,1003
001,001,01007,00000,1701,千人,978
001,001,01007,00000,1801,千人,939
001,001,01007,00000,1901,千人,915
001,001,01008,00000,1601,千人,1026
001,001,01008,00000,1301,千人,1001
001,001,01008,00000,1701,千人,1004
001,001,01008,00000,1801,千人,979
001,001,01008,00000,1901,千人,940
001,001,01009,00000,1601,千人,1029
001,001,01009,00000,1301,千人,1026
001,001,01009,00000,1701,千人,1002
001,001,01009,00000,1801,千人,1004
001,001,01009,00000,1901,千人,980
001,001,01010,00000,1601,千人,1054
001,001,01010,00000,1301,千人,1029
001,001,01010,00000,1701,千人,1026
001,001,01010,00000,1801,千人,1002
001,001,01010,00000,1901,千人,1004
001,001,01011,00000,1601,千人,1063
001,001,01011,00000,1301,千人,1054
001,001,01011,00000,1701,千人,1030
001,001,01011,00000,1801,千人,1027
001,001,01011,00000,1901,千人,1003
001,001,01012,00000,1601,千人,1068
001,001,01012,00000,1301,千人,1063
001,001,01012,00000,1701,千人,1055
001,001,01012,00000,1801,千人,1030
001,001,01012,00000,1901,千人,1028
001,001,01013,00000,1601,千人,1088
001,001,01013,00000,1301,千人,1069
001,001,01013,00000,1701,千人,1064
001,001,01013,00000,1801,千人,1056
001,001,01013,00000,1901,千人,1032
001,001,01014,00000,1601,千人,1082
001,001,01014,00000,1301,千人,1089
001,001,01014,00000,1701,千人,1069
001,001,01014,00000,1801,千人,1065
001,001,01014,00000,1901,千人,1057
001,001,01015,00000,1601,千人,1074
001,001,01015,00000,1301,千人,1083
001,001,01015,00000,1701,千人,1089
001,001,01015,00000,1801,千人,1070
001,001,01015,00000,1901,千人,1066
001,001,01016,00000,1601,千人,1077
001,001,01016,00000,1301,千人,1075
001,001,01016,00000,1701,千人,1084
001,001,01016,00000,1801,千人,1090
001,001,01016,00000,1901,千人,1071
001,001,01017,00000,1601,千人,1120
001,001,01017,00000,1301,千人,1076
001,001,01017,00000,1701,千人,1075
001,001,01017,00000,1801,千人,1084
001,001,01017,00000,1901,千人,1091
001,001,01018,00000,1601,千人,1130
001,001,01018,00000,1301,千人,1119
001,001,01018,00000,1701,千人,1077
001,001,01018,00000,1801,千人,1075
001,001,01018,00000,1901,千人,1085
001,001,01019,00000,1601,千人,1172
001,001,01019,00000,1301,千人,1131
001,001,01019,00000,1701,千人,1128
001,001,01019,00000,1801,千人,1089
001,001,01019,00000,1901,千人,1089
001,001,01020,00000,1601,千人,1208
001,001,01020,00000,1301,千人,1178
001,001,01020,00000,1701,千人,1148
001,001,01020,00000,1801,千人,1156
001,001,01020,00000,1901,千人,1121
001,001,01021,00000,1601,千人,1242
001,001,01021,00000,1301,千人,1221
001,001,01021,00000,1701,千人,1201
001,001,01021,00000,1801,千人,1176
001,001,01021,00000,1901,千人,1189
001,001,01022,00000,1601,千人,1247
001,001,01022,00000,1301,千人,1245
001,001,01022,00000,1701,千人,1243
001,001,01022,00000,1801,千人,1227
001,001,01022,00000,1901,千人,1207
001,001,01023,00000,1601,千人,1272
001,001,01023,00000,1301,千人,1247
001,001,01023,00000,1701,千人,1264
001,001,01023,00000,1801,千人,1269
001,001,01023,00000,1901,千人,1261
001,001,01024,00000,1601,千人,1277
001,001,01024,00000,1301,千人,1274
001,001,01024,00000,1701,千人,1266
001,001,01024,00000,1801,千人,1285
001,001,01024,00000,1901,千人,1297
001,001,01025,00000,1601,千人,1282
001,001,01025,00000,1301,千人,1277
001,001,01025,00000,1701,千人,1290
001,001,01025,00000,1801,千人,1280
001,001,01025,00000,1901,千人,1307
001,001,01026,00000,1601,千人,1298
001,001,01026,00000,1301,千人,1278
001,001,01026,00000,1701,千人,1287
001,001,01026,00000,1801,千人,1300
001,001,01026,00000,1901,千人,1295
001,001,01027,00000,1601,千人,1292
001,001,01027,00000,1301,千人,1293
001,001,01027,00000,1701,千人,1284
001,001,01027,00000,1801,千人,1294
001,001,01027,00000,1901,千人,1312
001,001,01028,00000,1601,千人,1261
001,001,01028,00000,1301,千人,1286
001,001,01028,00000,1701,千人,1297
001,001,01028,00000,1801,千人,1291
001,001,01028,00000,1901,千人,1304
001,001,01029,00000,1601,千人,1271
001,001,01029,00000,1301,千人,1256
001,001,01029,00000,1701,千人,1288
001,001,01029,00000,1801,千人,1302
001,001,01029,00000,1901,千人,1298
001,001,01030,00000,1601,千人,1261
001,001,01030,00000,1301,千人,1266
001,001,01030,00000,1701,千人,1257
001,001,01030,00000,1801,千人,1293
001,001,01030,00000,1901,千人,1309
001,001,01031,00000,1601,千人,1286
001,001,01031,00000,1301,千人,1257
001,001,01031,00000,1701,千人,1266
001,001,01031,00000,1801,千人,1262
001,001,01031,00000,1901,千人,1300
001,001,01032,00000,1601,千人,1307
001,001,01032,00000,1301,千人,1281
001,001,01032,00000,1701,千人,1257
001,001,01032,00000,1801,千人,1270
001,001,01032,00000,1901,千人,1268
001,001,01033,00000,1601,千人,1345
001,001,01033,00000,1301,千人,1302
001,001,01033,00000,1701,千人,1280
001,001,01033,00000,1801,千人,1260
001,001,01033,00000,1901,千人,1275
001,001,01034,00000,1601,千人,1379
001,001,01034,00000,1301,千人,1341
001,001,01034,00000,1701,千人,1302
001,001,01034,00000,1801,千人,1283
001,001,01034,00000,1901,千人,1265
001,001,01035,00000,1601,千人,1397
001,001,01035,00000,1301,千人,1375
001,001,01035,00000,1701,千人,1340
001,001,01035,00000,1801,千人,1304
001,001,01035,00000,1901,千人,1288
001,001,01036,00000,1601,千人,1448
001,001,01036,00000,1301,千人,1393
001,001,01036,00000,1701,千人,1374
001,001,01036,00000,1801,千人,1342
001,001,01036,00000,1901,千人,1308
001,001,01037,00000,1601,千人,1495
001,001,01037,00000,1301,千人,1444
001,001,01037,00000,1701,千人,1393
001,001,01037,00000,1801,千人,1376
001,001,01037,00000,1901,千人,1345
001,001,01038,00000,1601,千人,1514
001,001,01038,00000,1301,千人,1492
001,001,01038,00000,1701,千人,1443
001,001,01038,00000,1801,千人,1394
001,001,01038,00000,1901,千人,1378
001,001,01039,00000,1601,千人,1515
