都道府県,,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
自治体DXの推進体制等,CIOの任命,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,未実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,未実施,実施,実施,未実施,未実施,実施,実施,実施,実施
自治体DXの推進体制等,CIO補佐官等の任命,未実施,実施,実施,未実施,実施,未実施,実施,未実施,未実施,未実施,未実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,未実施,実施,実施,実施,未実施,未実施,未実施,実施,実施,実施,実施,実施,実施,未実施,実施,実施,未実施,実施,実施,未実施,未実施,未実施,未実施,実施,実施
自治体DXの推進体制等,全体方針策定,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施
自治体DXの推進体制等,全庁的な体制構築,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,未実施,実施,実施,実施,実施,実施,実施
自治体DXの推進体制等,外部人材活用,実施,未実施,実施,実施,実施,実施,実施,実施,実施,実施,未実施,実施,未実施,未実施,実施,実施,未実施,未実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,未実施,実施,未実施,実施,実施,実施,未実施,実施,実施,実施,未実施,実施,実施,実施,実施,実施,実施,実施
自治体DXの推進体制等,職員育成の取組,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施
自治体DXの推進体制等,全職員対象研修の実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,未実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施
自治体業務のDX,AIの導入状況,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施
自治体業務のDX,RPAの導入状況,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,未実施,実施,実施,未実施,実施,実施,実施,実施,実施,実施,実施,未実施,実施,実施,実施,実施
自治体業務のDX,テレワークの導入状況,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施,実施
住民サービスのDX,よく使う32手続のオンライン化状況,88%,89%,83%,83%,83%,89%,78%,94%,72%,82%,94%,89%,71%,84%,94%,78%,89%,89%,88%,71%,88%,94%,85%,79%,78%,65%,89%,82%,88%,94%,94%,89%,84%,84%,89%,65%,95%,76%,94%,79%,78%,67%,84%,94%,78%,83%,82%
住民サービスのDX,よく使う32手続のオンライン化状況_実施されている手続総数（分母）,17,19,18,18,18,18,18,17,18,17,18,18,24,19,18,18,18,18,17,17,17,18,20,19,18,23,18,17,17,18,18,18,19,19,18,26,19,17,17,19,18,24,19,17,18,18,17
住民サービスのDX,よく使う32手続のオンライン化状況_実施されている手続総数のうち「オンライン化済」と回答した手続数（分子）,15,17,15,15,15,16,14,16,13,14,17,16,17,16,17,14,16,16,15,12,15,17,17,15,14,15,16,14,15,17,17,16,16,16,16,17,18,13,16,15,14,16,16,16,14,15,14
